Skill;Domanda;Riposta1;Risposta2;Risposta3;Risposta esatta
AZURE;Your corporate web application is hosted in Azure regional data centres around the world. You need to route user requests to the closest service endpoint based on response latency. Which routing method should you use?;Application gateway;Front Door;API Management;Traffic manager
AZURE;You are developing a release strategy for several related software components. You need to reference variable groups and secure files across multiple build and release pipelines. What is the most efficient way to store and reference these assets from the pipeline?;Add the assets to a git repository;Add the assets in Key Vault;Add the assets to an encrypted volume;Add the assets to a library
AZURE;You need to grant full access for an app to a temporary Azure storage account. Configuring access should require minimum effort. Which option should you use?;Azure AD user account;Shared key;Certificate;Shared access signature
AZURE;Which choice is not a valid trigger for an Azure functions?;based on a time (schedule);another Azure service (cosmos, service bus);third party services (GitHub);threshold alert in Azure App insights
AZURE;You need to populate a newly created SQL database from your release pipeline in Azure DevOps. The solution should minimize deployment time and efforts. Which approach should you use?;Populate from a SQL file.;Populate from a CSV file.;Restore from a backup file.;Populate from a BACPAC file.
AZURE;You need to host a community website for your neighborhood association. The site contains static content, including HTML, CSS, and a few pages with client-side JavaScript. The site contains no sensitive information, and CORS support is unnecessary. The association has limited funds to pay for hosting, so the solution should be as inexpensive as possible. Which option should you use?;App Service on Standard plan;App Service on Consumption plan;static website with Azure CDN;Azure Storage static website
AZURE;You have a .NET app running on a VM Scale set. You need to monitor application performance without modifying the code. The solution should minimize the cost. What should you do?;Enable Network Performance Monitor on the VMs.;Install the Log Analytics Agent and enable Azure Monitor for VMs.;Enable SolarWinds Performance Monitor from the Azure Marketplace.;Install the Application Insights Agent.
AZURE;When setting your CI/CD pipeline an approval from your product owner is required before a final release to production. What solution do you use to achieve this?;a Manual Intervention task;a pre-deployment gate;a branch filter;a pre-deployment condition
AZURE;Which access protocol does Azure Files not support?;Network File System (NFS);REST API;Server Message Block(SMB);HTTPS
GOOGLE CLOUD;You want to set up a managed Apache Spark cluster. Which service do you configure?;Cloud Dataprep;Cloud Composer;Cloud Dataflow;Cloud Dataproc
GOOGLE CLOUD;You are designing an application that will send messages with the MQTT protocol. What service should you use?;BigQuery;Bigtable;IoT Broker;Cloud Pub/Sub
GOOGLE CLOUD;You want to try out a machine-learning TensorFlow example notebook with the fewest configuration steps on GCP. What do you do?;Upload the notebook to Google Colaboratory. Set the hardware accelerator to use GPU.;Create a notebook instance with GPU. Upload the notebook to the instance.;Upload the notebook to Google Colaboratory. Set the hardware accelerator to use TPU.;Create a notebook instance with TPU. Upload the notebook to the instance.
GOOGLE CLOUD;To be able to configure an existing Cloud Function, what information should you review and from which location?;execution time in Cloud Storage logs;execution time in Stackdriver logs;text payload in Cloud Storage logs;text payload in Stackdriver logs
GOOGLE CLOUD;You are concerned about data egress charges for files in a Cloud Storage bucket. What configuration change should you make?;Enable Requester Pays on the project.;Change the default storage class from regional to multi-regional.;Change the default storage class from multi-regional to regional.;Enable Requester Pays on the bucket.
GOOGLE CLOUD;You want to configure services to be able to perform a regular interactive query of Google AdWords data. What should you do?;Plan to use BigQuery. Create a BigQuery data set to hold the data.;Plan to use Cloud SQL. Enable Cloud SQL Transfer Data API.;Plan to use Cloud SQL. Create a Cloud SQL Database to hold the data.;Plan to user BigQuery. Enable BigQuery Transfer Data API.
GOOGLE CLOUD;You want to use GCP-preferred base container images. Where can your users find these images?;Docker Hub;Compute Engine base images;Google Kubernetes Engine base images;GCP Marketplace
GOOGLE CLOUD;Cloud SQL supports which two relational databases?;Redis and Oracle;MySQL and Oracle;Redis and PostgreSQL;MySQL and PostgreSQL
GOOGLE CLOUD;You want to quickly test a single Docker container image that will start a stateless HTTP service on GCP. Which service do you select to host your container image?;Cloud Run on Google Kubernetes Engine;Cloud Functions;Google Kubernetes Engine;Cloud Run
GOOGLE CLOUD;You want to capture the message acknowledgment state of a subscription at a given time. What do you do?;Create a Cloud Pub/Sub subscription backup;Create a Cloud Pub/Sub subscription topic.;Create a Cloud Pub/Sub subscription.;Create a Cloud Pub/Sub subscription snapshot.
GOOGLE CLOUD;Which command adds a column family named `cf1` to your Bigtable table named `my-table`?;`cbt createfamily cf1 my-table`;`gcloud createfamily cf1 my-table cf1`;`gcloud createfamily my-table cf1`;`cbt createfamily my-table cf1`
HTML;Where do `<header>` and `<footer>` tags typically occur?;as children of `<body>, <article>, <aside>, and <section>` tags;as children of `<body>, <article>, <aside>, <nav>, and <section>` tags;as children of `<body>, <article>, <table>, and <section>` tags;as children of `<body>, <article>, and <section>` tags
HTML;What is the best way to apply bold styling to text?;Use CSS.;`<bold>`;`<b>`;`<strong>`
HTML;When is the `<link>` tag used?;when linking style sheets, JavaScript, and icons for mobile apps;when linking one webpage to another;when linking style sheets, external URLs, and favicons;when linking style sheets, favicons, and preloading assets
HTML;When should you use the `<aside>` element?;for anything you want to move to the side, like a pull quote box, a sidebar, or an image with text wrapping around it;for anything in parentheses;for anything in a sidebar;when the content can be removed without detracting from the page's message
HTML;With which tags is the `<source>` element associated?;`<svg>, <picture>, <audio>, and <video>`;It is interchangeable with the `src` attribute, so any element which uses `src` may use `<source>`;`<audio> and <video>`;`<picture>, <audio>, and <video>`
HTML;What is the purpose of the `<samp>` element?;It connects the web browser to a SA-MP server.;It identifies enclosed text as a sampler or an example.;It uses a simple application messaging protocol to connect the browser to a texting device.;It identifies sample output from a computer program.
HTML;When should you use `<ol>` and `<ul>` elements?;Use `<ul>` when you have a list of items in which the order of the items matters. Use `<ol>` when you have a list of items that could go in any order.;Use `<ol>` when you want a bulleted list and `<ul>` when you want a numbered list.;Use `<ol>` when you have a list of items in which the order of the items matters. Use `<ul>` when you have a list of items that could go in any order.;Use `<ul>` when you want a bulleted list and `<ol>` when you want a numbered list.
HTML;What is the difference between the post and get methods in a form?;post is used for sending information to the server. get is used for retrieving form information from the server.;get is used for sending information to the server. post is used for retrieving form information from the server.;With get, data is included in the form body when send to the server. With post, the data goes through the URL.;With post, data is included in the form body when send to the server. With get, the data goes through the URL.
HTML; What is the difference between the `<div>` and `<span>` tags?;`<div>` is used for major divisions on a page, while `<span>` is used to span across columns.;`<div>` is the industry-standard default tag, but you could use `<span>` if you prefer.;`<div>` is used where a generic inline tag is needed, while `<span>` is used where a generic block-level tag is needed.;`<div>` is used where a generic block-level tag is needed, while `<span>` is used where a generic inline tag is needed.
HTML;In the code below, what is the purpose of the **id** attribute?;It establishes that id is a unique identifier in the document, used for styling CSS and with Javascript code.;It establishes that id may be used for styling CSS several times per page.;It establishes that id is a unique identifier in the website, used for styling CSS, scripting, and linking within a webpage.;It establishes that id is a unique identifier in the document, used for styling CSS, scripting, and linking within a webpage.
Python;What happens when you use the build-in function any() on a list?;The any() function returns a Boolean value that answers the question “Are there any items in this list?”;The any() function takes as arguments the list to check inside, and the item to check for. If “any” of the items in the list match the item to check for, the function returns True.;The any() function will randomly return any item from the list.;The any() function returns True if any item in the list evaluates to True. Otherwise, it returns False.
Python;What data structure does a binary tree degenerate to if it isn’t balanced properly?;set;queue;OrderedDict;linked list
Python;What statement about static methods is true?;Static methods are called static because they always return None.;Static methods can be bound to either a class or an instance of a class.;Static methods can access and modify the state of a class or an instance of a class.;Static methods serve mostly as utility methods or helper methods, since they can’t access or modify a class’s state.
Python;What built-in Python data type is commonly used to represent a stack?;set;You can only build a stack from scratch.;dictionary;list
Python;What is an instance method?;An instance method is a regular function that belongs to a class, but it must return None.;An instance method is any class method that doesn’t take any arguments.;Instance methods hold data related to the instance.;Instance methods can modify the state of an instance or the state of its parent class.
Python;What is the term used to describe items that may be passed into a function?;decorators;attributes;paradigms;arguments
Python;Which collection type is used to associate values with unique keys?;sorted list;queue;slot;dictionary
Python;What does calling namedtuple on a collection type return?;a generic object class with iterable parameter fields;a generic object class with non-iterable named fields;a tuple subclass with non-iterable parameter fields;a tuple subclass with iterable named fields
Python;What symbol(s) do you use to assess equality between two elements?;"""=""";&&;||;"""=="""
Python;What is the proper way to write a list comprehension that represents all the keys in this dictionary?;fruit_names = [x in fruits.keys() for x];fruit_names = for x in fruits.keys() *;fruit_names = x for x in fruits.keys();[x] fruit_names = [x for x in fruits.keys()]
C++;Which of the following operators is overloadable?;?:;.;::;new
C++;What is an lvalue?;It’s a constant expression, meaning an expression composed of constants and operations.;It’s an expression suitable for the left-hand side operand in a binary operation.;It’s a location value, meaning a memory address suitable for assigning to a pointer or reference.;It’s an expression that represents an object with an address.
C++;A class template is a _?;blank superclass intended for inheritance and polymorphism.;lass that only consists of member variable, with no constructor, destructor nor member functions.;skeleton source code for a class where the programmer has to fill in specific parts to define the data types and algorithms used.;class written with the generic programming paradigm, specifying behavior in terms of type parameter rather than specific type.
C++;Which STL class is the best fit for implementing a collection of data that is always ordered so that the pop operation always gets the greatest of the elements? Suppose you are interested only in push and pop operations.;std::list;std::vector;std::priority_queue;std::priority_queue
C++;Which statement is true?;Only classes can have member variables and methods.;C++ supports only single inheritance.;Only structs can inherit.;C++ supports multiple inheritance.
C++;"Consider a pointer to void, named ptr, which has been set to point to a floating point variable g. Which choice is a valid way to dereference ptr to assign its pointed value to a float variable f later in the program? float g; void *ptr=&g;";"float f=(float)*ptr;";"float f=(float *)ptr;";"float f=*(float)ptr;";"float f=*(float *)ptr;"
C++;How can C++ code call a C function?;by importing the source C code;there is no way for C++ to call a C function;by simply calling the C code;by using extern “C”
C++;"What’s wrong with this definition when using a pre-C++11 compiler? std::vector<std::vector<int>> thematrix;";"The correct syntax should be: std::vector[std::vector[int]] thematrix;";An std::vector cannot contain more std::vector containers as its elements.;There’s nothing wrong with it.;>> is parsed as the shift-right operator, and thus results in a compile error.
C++;What is the statement below equivalent to?;sprite.x;sprite.*x;*sprite.x;(*sprite).x
C++;"What would be the output of this code?int32_t nums[3]={2,4,3};
std::cout << ( nums[0] << nums[1] << nums[2] );";243;0;The output is the addresses of nums[0], nums[1], and nums[2], in that order, with no spaces.;256
Cyber;According to the shared responsibility model, which cloud computing model places the most responsibility on the cloud service provider (CSP)?;Hybrid Cloud;Platform as a Service (PaaS);Infrastructure as a Service (IaaS); Software as a Service (SaaS)
Cyber;Which option removes the risk of multitenancy in cloud computing?;PaaS;public cloud;IaaS;private cloud
Cyber;Which security control cannot produce an active response to a security event?;cloud access security broker (CASB);intrusion prevention system (IPS);next generation firewall;intrusion detection system (IDS)
Cyber;Packet sniffer is also called **\_**.;SIEM;UTM;data sink;protocol analyzer
Cyber; Which option tests code while it is in operation?;code review;code analysis;static analysis;dynamic analysis
Cyber;Which security control can best protect against shadow IT by identifying and preventing use of unsanctioned cloud apps and services?;intrusion prevention system (IPS);next generation firewall;intrusion detection system (IDS);cloud access security broker (CASB)
Cyber;Which option describes the best defense against collusion?;monitoring of normal employee system and data access patterns;applying system and application updates regularly;fault tolerant infrastructure and data redundancy;separation of duties and job rotation
Cyber;You configure an encrypted USB drive for a user who needs to deliver a sensitive file at an in-person meeting. What type of encryption is typically used to encrypt the file?;file hash;asymmetric encryption;digital signature;symmetric encryption
Cyber;What is the difference between DRP and BCP;BCP works to keep a business up and running despite a disaster. DRP works to restore the original business capabilities.;BCP is part of DRP.;DRP is part of BCP.;DRP works to keep a business up and running despite a disaster. BCP works to restore the original business capabilities.
Cyber;Which aspect of cybersecurity do Distributed Denial of Service (DDoS) attacks affect the most?;non-repudiation;integrity;confidentiality;availability
Hadoop;Partitioner controls the partitioning of what data?;final keys;final values;intermediate values;intermediate keys
Hadoop;SQL Windowing functions are implemented in Hive using which keywords?;UNION DISTINCT, RANK;OVER, EXCEPT;UNION DISTINCT, RANK;OVER, RANK
Hadoop;Hadoop Auth enforces authentication on protected resources. Once authentication has been established, it sets what type of authenticating cookie?;encrypted HTTP;unsigned HTTP;compressed HTTP;signed HTTP
Hadoop; MapReduce jobs can be written in which language?;SQL only;SQL or Java;Python or SQL;Java or Python
Hadoop;To perform local aggregation of the intermediate outputs, MapReduce users can optionally specify which object?;Reducer;Mapper;Counter;Combiner
Hadoop;Hadoop Core supports which CAP capabilities?;C, A;C, P;C, A, P;A, P
Hadoop;What are the primary phases of a Reducer?;combine, map, and reduce;reduce, sort, and combine;map, sort, and combine;shuffle, sort, and reduc
Hadoop;For high availability, use multiple nodes of which type?;data;memory;worker;name
Hadoop;DataNode supports which type of drives?;cold swappable;warm swappable;non-swappable;hot swappable
Hadoop;To reference a master file for lookups during Mapping, what type of cache should be used?;local cache;partitioned cache;cluster cache;distributed cache
Excel;Which two functions check for the presence of numerical or nonnumerical characters in cells?;ISNUMBER and ISALPHA;ISVALUE AND ISNUMBER;ISVALUE and ISTEXT;ISNUMBER and ISTEXT
Excel;If cell A3 contains the text THE DEATH OF CHIVALRY, what will the function =PROPER(A3) return?;the death of chivalry;The death of Chivalry;THE DEATH OF CHIVALRY;The Death Of Chivalry
Excel;Which function returns a reference to a cell (or cell range) that is a specified distance from a base cell?;VLOOKUP;INDEX;MATCH;OFFSET
Excel;Of the four chart types listed, which works best for summarizing time-based data?;ie chart;XY scatter chart;bar chart;line chart
Excel;You want to be able to restrict values allowed in a cell and need to create a drop-down list of values from which users can choose. Which feature should you use?;Protect Worksheet;Conditional Formatting;Allow Users to Edit Ranges;Data Validation
Excel;To round up a value to the nearest increment of your choice, such as the next five cents, what function should you use?;MAX;ROUND;CEILING;ROUNDUP
Excel;When you sort a list of numerical value into ascending or descending order, the value in the middle of the list is the \_.;mode;modulus;average;median
Excel;For an IF function to check whether cell B3 contains a value between 15 and 20 inclusively, what condition should you use?;OR(B3=>15,B3<=20);OR(B3>15,B3<20);AND(B3>15, B3<20);AND (B3>=15,B3<=20)
Excel;Cell A20 displays an orange background when its value is 5. Changing the value to 6 changes the background color to green. What type of formatting is applied to cell A20?;Value Formatting;Cell Style Formatting;Tabular format;Conditional Formatting
Excel;What does this formula do? `=Sum(Sheet1:Sheet4!D18)`;It adds data from cell D18 of Sheet1 and cell D18 of Sheet4;It adds data from cell A1 of Sheet1 and cell D18 of sheet4;It adds all data in the range A1:D18 in Sheet1, Sheet2, Sheet3 and Sheet4;It adds data from all D18 cells in Sheet1, Sheet2, Sheet3 and Sheet4
PowerBi;What is the primary benefit of using visualizations such as line charts, bar charts, and column charts?;They are easier to create than other visualizations.;They are also used in Excel, so they feel familiar to users.;They are free to use.;They require fewer resources than more complex visualizations.
PowerBi;The Excel function IF is nearly the same as which DAX function?;SWITCH;IF;IFX;IFS
PowerBi;You just deleted a dashboard in the Power BI service and want to get it back. What should you do?;Select Undo from the toolbar.;You cannot undo the deletion of a dashboard.;Recover it from the Recycle Bin.;Press Ctrl+Z.
PowerBi;You have a sales data source and want to relate the tables. The table that contains sales transactions is a _ table that contains product information is a _ table ;"dimension; fact";"lookup; data";"data; supporting";"data; lookup"
PowerBi;One of your data columns includes the city, state, and postal code line of a mailing address. You need to separate the fields so you can access the geospatial elements for a map visualization. What transformation should you apply?;Replace values;Modify data type;Best fit geospatial;Split column
PowerBi;What tool can you use in Power BI Desktop to reduce data?;report editor;Power Query Editor;dashboard;data modeler
PowerBi;Which data type can be uploaded directly to powerbi.com?;Excel files;comma-separated value (CSV) files;Power BI Desktop files;all of these answers
PowerBi;What should you do to increase the readability of a report?;Remove unnecessary field labels.;Select the most appropriate visualization.;Use borders.;all of these answers
PowerBi;Which feature in the Power BI service is most useful when you need to create pages that present the same visualizations for different territories, salespeople, or teams?;landscape mode;none of these answers;Shrink to Fit;templates
PowerBi;What should you use to highlight a specific visualization in a report?;Highlight;Magnify;None of the answers;Spotlight
Linux;Which command allows you to do packet analysis from the command line?;wireshark;ethtool;netstat;tcpdump
Linux;Which command will tell you how long a system has been running?;log;runtime;access;uptime
Linux;How would you describe PCP (Performance Co-Pilot)?;It is an application testing suite used to profile programming code.;It is a local command used for monitoring local system resources in real time.;It is a tool designed to change system configuration for purposes of optimization.;It is a set of tools, services, and libraries for gathering and analyzing performance measures.
Linux;Which command in Bash executes the last line in the shell history that starts with ls?;!;!!;!\*;!ls
Linux;What command is used to determine the amount of disk usage for a directory?;find;fdisk;du;df
Linux;What is the key difference between a redirect (>) and piping to the tee command?;The tee command sends output only to STDOUT and STDERR.;A redirect sends output to STDOUT and a file, whereas a tee sends output only to STDOUT.;Nothing, they are the same.;The tee command sends output to STDOUT and a file, whereas a redirect sends output only to a file.
Linux; ifconfig has been deprecated. What command is now recommended for changing IP addresses in the live config?;netconf;ipconfig;ipman;ip
Linux;When a user deletes a file using the rm command, Linux will \_.;always ask for confirmation;back up the file before it deletes the file; never ask for confirmation;ask for confirmation if configured to do so
Linux;What is the /etc/hosts file used for?;resolving the local name;blocking sites using iptables;setting the hostname;configuring DNS name servers
Linux;To search from the current cursor position up to the beginning of the file using VIM, type \_ and then the search criteria.;`\`;`/`;`/search`;`?`
MongoDb;Which command adds members to the replica set from MongoDB shell?;"`replicaSetAdd(""<hostname>"")`";"`rs.insert(""<hostname>"")`";"`replica.add(""<hostname>"")`";"`rs.add(""<hostname>"")`"
MongoDb;Which MongoDB shell command should you use to back up a database?;restore;backup;mongobackup;mongodump
MongoDb;Which shell query displays all citizens with an age greater than or equal to 21?;`db.citizens.select('WHERE age >= 21')`;`db.citizens.where('age >= 21')`;`db.citizens.find('WHERE age >= 21')`;`db.citizens.find({age: {$gte: 21}})`
MongoDb;What does a MongoDB collection consist of?;data;fields;rows;documents
MongoDb;Given an ObjectId in `_id`, how do you get the time it was created?;`getDateTime(_id)`;`_id.createDate()`;`_id.getDateTime()`;`_id.getTimestamp()`
MongoDb;Given a cursor named myCursor, which command returns a boolean value?;myCursor.sort();myCursor.next();myCursor.find();myCursor.hasNext()
MongoDb;Which command returns a specific document in the user's collection?;`db.users.seek({_id: 1})`;`db.users.query({_id: 1})`;`db.query.users({_id: 1})`;`db.users.find({_id: 1})`
MongoDb;To import a JSON array into Mongo, what flags are needed with MongoDBimport?; `--type jsonArray`; `--json`; `--type json`; `--jsonArray`
MongoDb;Choose the shell command that connects to a MongoDB database.;mongod;mongoconnect;dbconnect;mongo
MongoDb;In the MongoDB shell, how can you tell if an index was used with a query?;db.customers.find({lastName: 'smith'}).perf();db.customers.find({lastName: 'smith'}).plan();db.customers.find({lastName: 'smith'}).usedIndex();db.customers.find({lastName: 'smith'}).explain()
Javascript;Which statement is the correct way to create a variable called rate and assign it the value 100?;rate = 100;let 100 = rate;100 = let rate;let rate = 100
Javascript;"Which statement creates a new object using the Person constructor? Which statement creates a new Person object called ""student""?"; ar student = construct Person;var student = Person();var student = construct Person();var student = new Person()
Javascript;"How would you reference the text 'avenue' in the code shown?
let roadTypes = ['street', 'road', 'avenue', 'circle']";roadTypes.2;roadTypes[3];roadTypes.3;roadTypes[2]
Javascript;"What is the result of running this statement?
console.log(typeof 42)";float';value';integer';number'
Javascript;Which property references the DOM object that dispatched an event?;self;object;source;target
Javascript;Which method converts JSON data to a JavaScript object?;JSON.fromString();JSON.toObject();JSON.stringify();JSON.parse()
Javascript;When would you use a conditional statement?;When you want to reuse a set of statements multiple times.;When you want to group data together.;When you want to loop through a group of statement.;When you want your code to choose between multiple options.
Javascript;Which Object method returns an iterable that can be used to iterate over the properties of an object?;Object.get();Object.loop();Object.each();Object.keys()
Javascript;Which statement sets the Person constructor as the parent of the Student constructor in the prototype chain?;"Student.parent = Person;";"Student.prototype = Person();";"Student.prototype = Person;";"Student.prototype = new Person();"
Javascript;Which Variable-defining keyword allows its variable to be accessed (as undefined) before the line that defines it?;all of them;const;let;var
ML;In traditional computer programming, you input commands. What do you input with machine learning?;patterns;programs ;rules;data 
ML;What is an example of a commercial application for a machine learning system?;a data entry system;a data warehouse system;a massive data repository;a product recommendation system
ML;How do machine learning algorithms make more precise predictions? ;The algorithms are typically run more powerful servers.;Machine learning servers can host larger databases. ;The algorithms can run on unstructured data.;The algorithms are better at seeing patterns in the data.
ML;You work for an insurance company. Which machine learning project would add the most value for the company?;Create an artificial neural network that would host the company directory.;Create an algorithm that consolidates all of your Excel spreadsheets into one data lake. ;Use machine learning and big data to research salary requirements ;Use machine learning to better predict risk.
ML;What is stacking?;The predictions of one model become the inputs another.;You use different versions of machine learning algorithms.;You use several machine learning algorithms to boost your results.;You stack your training set and testing set together.
ML;Your company wants you to build an internal email text prediction model to speed up the time that employees spend writing emails. What should you do?;Include training email data from new employees.;Include training email data from seasoned employees.;Include training email data from employees who write the majority of internal emails.;Include training email data from all employees. 
ML;Self-organizing maps are specialized neural network for which type of machine learning?;supervised learning;reinforcement learning;unsupervised learning;semi-supervised learning
ML;In K-nearest neighbor, the closer you are to neighbor, the more likely you are to;be part of the root node;have a Euclidean connection;be part of the same cluster;share common characteristics
ML;Naive Bayes looks at each _ predictor and creates a probability that belongs in each class. ;conditional;multiclass;binary;independent
ML;Someone of your data science team recommends that you use decision trees, naive Bayes and K-nearest neighbor, all at the same time, on the same training data, and then average the results. What is this an example of?;regression analysis;unsupervised learning;high -variance modeling;ensemble modelling
Git;How can you check your current git version? ;git --v;git --option;git –current;git --version
Git;What command lets you create a connection between a local and remote repository?;git remote add new;git remote new origin ;git remote origin;git remote add origin
Git;Which of the following is true you when you use the following command? git add -A ;Files are staged in alphabetical order.;All new files are staged;Only updated files are staged;All new and updated files are staged 
Git;What option can you use to apply git configurations across your entire git environment? ;"""=--all""";"""=--master""";"""–update""";"""=--global"""
Git;How could you squash multiple commits together without using git merge --squash? ;Caching;You can't. git merge --squash is the only git command for that operation.;Reflogging;Rebasing 
Git;How can you display a list of files added or modified in a specific commit? ;Find the commit in the remote repository, as that's the only place that kind of information is stored. ;Access the commit stash data with git stash.;Run git commit --info with the commit hash.;Use the diff-tree command with the commit hash.
Git;"After you make changes to a local repository, you run the following command. What will this do? git commit -a -m ""Refactor code base""";Nothing, you can't use multiple options in the same command;Adds all new files to the staging area ;Commits all new files with a message;Adds all modified files to the staging area, then commits them with a message
Git;Where are files stored before they are committed to the local repository? ; Saved files;git documents;git cache ;Staging area 
Git;Which of the following is true of the git push command?;By default a push doesn't send tags to the remote repository.;Commits can only be tagged when they are created.;Only annotated tags are automatically pushed to the remote repository with a commit.;Tags are pushed to the remote repository with their respective commits.
Git;What is the best way to characterize the git commit structure? ;Data array;Data log;Data dictionary ;Data snapshot
REACT;If you want to import just the Component from the React library, what syntax do you use?;import React.Component from 'react';import [ Component ] from 'react';import Component from 'react';import { Component } from 'react'
REACT;What is the testing library most often associated with React?;Mocha;Chai;Sinon;Jest
REACT;What can you use to handle code splitting?;React.memo;React.split;React.fallback;React.lazy
REACT;Which of these terms commonly describe React applications?;integrated;closed;imperative;declarative
REACT;What package contains the render() function that renders a React element tree to the DOM?;React;Render;DOM;ReactDOM
REACT;Which function from React can you use to wrap Component imports to load them lazily?;fallback;split;memo;lazy
REACT;Which answer best describes a function component?;A function component is the same as a class component.;A function component is the only way to create a component;A function component is required to create a React component.;A function component accepts a single props object and returns a React element
REACT;Which library does the `fetch()` function come from?;FetchJS;ReactDOM;React;No library. `fetch()` is supported by most browsers.
REACT;Which function is used to update state variables in a React class component?;replaceState;refreshState;updateState;setState
REACT;Among The following options, choose the one which helps react for keeping their data uni-directional?;DOM;JSX;Props;flux
NOSQL;To index a field that holds an array value in MongoDB, which index type do you create?;partial;sparse;compound;multikey
NOSQL;You need to create a document database that supports database triggers. Which NoSQL database should you use?;BigTable;Redis;MongoDB;DynamoDB
NOSQL;You need to change the shard key of an existing MongoDB collection. What do you do?;Dump the collection data, drop the collection, create a new collection and shard key, import the data.;Add second shard key and drop the first shard key.;Drop and recreate the shard key;Dump the collection data, drop the collection, presplit the data, create a new collection and shard key, import the data
NOSQL;Polyglot storage means using multiple types of what in the same application?;Security systems;Database systems;Query systems;Storage systems
NOSQL;You need to implement the simplest possible scalable, in-memory cache for your AWS application. Which service do you select?;Elasticache using Memcached.;DynamoDB.;DynamoDB Accelerator (DAX); Elasticache using Redis
NOSQL;Which two characteristics define Amazon Quantum Ledger Database?;"Key-value data model; transactionally consistent with ACID semantics";"Key-value data model; transactions with tunable consistency.";"Document data model; transactions with tunable consistency.";"Document data model; transactionally consistent with ACID semantics."
NOSQL;Which of these data types should you avoid in designing a Google Bigtable row key?;multi-valued identifiers;string identifiers;timestamps;frequently updated identifiers
NOSQL;Your startup is building a prototype that has an evolving schema. Your data will be eventually consistent. Your application is hosted in AWS. Which database do you choose?;Neptune;DocumentDB;Amazon Aurora;DynamoDB
NOSQL;Which statement is preferred Cypher code for Neo4j?;MATCH (:Person)–>(:Card)–>(:Company) RETURN count(vehicle);Match (:Person)–>(:Car):(vehicle:Car)–>(:Company) RETURN count(vehicle);MATCH (:Person)–>(:Card), (vehicle:Car)–>(:Company) RETURN count(vehicle);MATCH (:Person)–>(vehicle:Car)–>(:Company) RETURN count(vehicle)
